verb1,verb2,noun1,noun2,continuation1,continuation2_would,continuation2_should
break,claim,athlete,record,"['remarkable', 'impressive', 'unexpected', 'historic', 'significant']","['celebrate', 'acknowledge', 'announce', 'share', 'highlight']","['celebrate', 'honor', 'acknowledge', 'appreciate', 'respect']"
write,promote,professor,book,"['comprehensive', 'detailed', 'fascinating', 'accessible', 'educational']","['discuss', 'mention', 'recommend', 'sell', 'describe']","['consider', 'update', 'expand', 'edit', 'publish']"
order,drink,administrator,coffee,"['hot', 'cold', 'strong', 'black', 'fresh']","['enjoy', 'spill', 'taste', 'share', 'stir']","['consider', 'enjoy', 'appreciate', 'taste', 'evaluate']"
spill,wipe,server,drink,"['cold', 'hot', 'sweet', 'bitter', 'warm']","['clean', 'dry', 'absorb', 'remove', 'clear']","['replace', 'clean', 'dry', 'absorb', 'remove']"
produce,distribute,director,film,"['creative', 'successful', 'innovative', 'ambitious', 'independent']","['promote', 'market', 'edit', 'review', 'present']","['promote', 'market', 'improve', 'enhance', 'edit']"
make,love,designer,bag,"['elegant', 'unique', 'functional', 'practical', 'innovative']","['sell', 'carry', 'promote', 'use', 'display']","['sell', 'improve', 'donate', 'market', 'promote']"
tour,document,traveler,country,"['beautiful', 'vast', 'fascinating', 'diverse', 'historic']","['explore', 'photograph', 'visit', 'experience', 'enjoy']","['explore', 'experience', 'appreciate', 'understand', 'embrace']"
identify,fix,developer,bug,"['critical', 'minor', 'complex', 'mysterious', 'severe']","['report', 'document', 'address', 'investigate', 'analyze']","['document', 'report', 'track', 'analyze', 'investigate']"
develop,test,manufacturer,product,"['innovative', 'new', 'reliable', 'affordable', 'sustainable']","['market', 'sell', 'promote', 'distribute', 'launch']","['improve', 'enhance', 'modify', 'upgrade', 'evaluate']"
launch,oversee,manager,project,"['ambitious', 'innovative', 'successful', 'challenging', 'complex']","['plan', 'evaluate', 'manage', 'direct', 'monitor']","['evaluate', 'monitor', 'assess', 'support', 'facilitate']"
prepare,teach,instructor,course,"['challenging', 'comprehensive', 'innovative', 'practical', 'detailed']","['review', 'update', 'organize', 'manage', 'evaluate']","['assess', 'evaluate', 'review', 'update', 'modify']"
accept,investigate,lawyer,case,"['complex', 'challenging', 'controversial', 'difficult', 'sensitive']","['analyze', 'research', 'review', 'argue', 'present']","['evaluate', 'review', 'analyze', 'assess', 'question']"
invade,destroy,warrior,castle,"['ancient', 'massive', 'mysterious', 'vast', 'grand']","['capture', 'seize', 'occupy', 'attack', 'claim']","['protect', 'defend', 'preserve', 'guard', 'honor']"
found,manage,entrepreneur,company,"['innovative', 'successful', 'new', 'small', 'large']","['grow', 'lead', 'expand', 'develop', 'oversee']","['grow', 'expand', 'lead', 'transform', 'develop']"
fly,land,pilot,helicopter,"['complex', 'advanced', 'powerful', 'fast', 'reliable']","['maintain', 'operate', 'control', 'park', 'repair']","['park', 'secure', 'maintain', 'control', 'guide']"
raise,race,rider,horse,"['powerful', 'strong', 'loyal', 'gentle', 'wild']","['train', 'feed', 'ride', 'exercise', 'brush']","['train', 'exercise', 'feed', 'guide', 'rest']"
